title,year_released,rating,category
Ο σκοτεινός ιππότης,2008,9,"Action, Crime, Drama"
Ο άρχοντας των δαχτυλιδιών: Η επιστροφή του βασιλιά,2003,8.9,"Action, Adventure, Drama"
Inception,2010,8.8,"Action, Adventure, Sci-Fi"
Shershaah,2021,8.8,"Action, Biography, Drama"
Ο άρχοντας των δαχτυλιδιών: Η συντροφιά του δαχτυλιδιού,2001,8.8,"Action, Adventure, Drama"
Ο άρχοντας των δαχτυλιδιών: Οι δύο πύργοι,2002,8.7,"Action, Adventure, Drama"
The Matrix,1999,8.7,"Action, Sci-Fi"
Ο πόλεμος των άστρων: Επεισόδιο 5 - Η αυτοκρατορία αντεπιτίθεται,1980,8.7,"Action, Adventure, Fantasy"
Ο πόλεμος των άστρων: Επεισόδιο 4 - Μια νέα ελπίδα (1977),1977,8.6,"Action, Adventure, Fantasy"
Harakiri,1962,8.6,"Action, Drama, Mystery"
Οι επτά σαμουράι,1954,8.6,"Action, Adventure, Drama"
Ratsasan,2018,8.5,"Action, Crime, Drama"
Dune,2021,8.5,"Action, Adventure, Drama"
Μονομάχος,2000,8.5,"Action, Adventure, Drama"
Léon,1994,8.5,"Action, Crime, Drama"
Εξολοθρευτής 2: Μέρα Κρίσης (1991),1991,8.5,"Action, Sci-Fi"
Dangal,2016,8.4,"Action, Biography, Drama"
Spider-Man: Μέσα στο Αραχνο-Σύμπαν,2018,8.4,"Animation, Action, Adventure"
Εκδικητές: Η τελευταία πράξη,2019,8.4,"Action, Adventure, Drama"
Εκδικητές: Ο πόλεμος της αιωνιότητας,2018,8.4,"Action, Adventure, Sci-Fi"
Ο σκοτεινός ιππότης: Η επιστροφή,2012,8.4,Action
Oldboy,2003,8.4,"Action, Drama, Mystery"
Πριγκίπισσα Μονονόκε,1997,8.4,"Animation, Action, Adventure"
Οι Κυνηγοί της Χαμένης Κιβωτού,1981,8.4,"Action, Adventure"
1917,2019,8.3,"Action, Drama, War"
Uri: The Surgical Strike,2019,8.3,"Action, Drama, War"
K.G.F: Chapter 1,2018,8.3,"Action, Crime, Drama"
Vikram Vedha,2017,8.3,"Action, Crime, Drama"
Kimetsu no Yaiba: Mugen Ressha-Hen,2020,8.3,"Animation, Action, Adventure"
"Άλιενς, η Επιστροφή",1986,8.3,"Action, Adventure, Sci-Fi"
Ο πόλεμος των άστρων: Επεισόδιο 6 - Η επιστροφή των Τζεντάι,1983,8.3,"Action, Adventure, Fantasy"
Baahubali 2: The Conclusion,2017,8.2,"Action, Drama"
Gangs of Wasseypur,2012,8.2,"Action, Crime, Drama"
Paan Singh Tomar,2012,8.2,"Action, Biography, Crime"
Μπάτμαν: Η αρχή,2005,8.2,"Action, Adventure"
Hera Pheri,2000,8.2,"Action, Comedy, Crime"
Δυο καπνισμένες κάνες,1998,8.2,"Action, Comedy, Crime"
Ο Ιντιάνα Τζόουνς και η Τελευταία Σταυροφορία,1989,8.2,"Action, Adventure"
Πολύ σκληρός για να πεθάνει,1988,8.2,"Action, Thriller"
Ran,1985,8.2,"Action, Drama, War"
Sholay,1975,8.2,"Action, Adventure, Comedy"
Γιοζίμπο,1961,8.2,"Action, Drama, Thriller"
Sherlock Jr.,1924,8.2,"Action, Comedy, Romance"
Haider,2014,8.1,"Action, Crime, Drama"
Λόγκαν,2017,8.1,"Action, Drama, Sci-Fi"
Rush,2013,8.1,"Action, Biography, Drama"
Κόντρα σε Όλα,2019,8.1,"Action, Biography, Drama"
Μαντ Μαξ: Ο δρόμος της οργής,2015,8.1,"Action, Adventure, Sci-Fi"
Warrior,2011,8.1,"Action, Drama, Sport"
A Wednesday,2008,8.1,"Action, Crime, Drama"
Zack Snyder's Justice League,2021,8.1,"Action, Adventure, Fantasy"
Πώς να εκπαιδεύσετε τον δράκο σας,2010,8.1,"Animation, Action, Adventure"
V for Vendetta,2005,8.1,"Action, Drama, Sci-Fi"
Kill Bill Volume 1,2003,8.1,"Action, Crime, Drama"
"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",1997,8.1,"Animation, Action, Drama"
Andaz Apna Apna,1994,8.1,"Action, Comedy, Romance"
Τζουράσικ Παρκ,1993,8.1,"Action, Adventure, Sci-Fi"
Μπλέιντ Ράνερ,1982,8.1,"Action, Sci-Fi, Thriller"
Sanjuro,1962,8.1,"Action, Comedy, Crime"
O megalos amartolos,1949,8.1,"Action, Crime, Drama"
Ο στρατηγός,1926,8.1,"Action, Adventure, Comedy"
Bajrangi Bhaijaan,2015,8,"Action, Adventure, Comedy"
Baby,2015,8,"Action, Thriller"
Bãhubali: The Beginning,2015,8,"Action, Drama"
Επιχείρηση: Χάος 2,2014,8,"Action, Crime, Thriller"
Φύλακες του γαλαξία,2014,8,"Action, Adventure, Comedy"
Blade Runner 2049,2017,8,"Action, Drama, Mystery"
Η επιστροφή,2015,8,"Action, Adventure, Drama"
Οι επίλεκτοι 2,2010,8,"Action, Crime, Drama"
Deadpool,2016,8,"Action, Adventure, Comedy"
Ip Man: Η γέννηση του θρύλου,2008,8,"Action, Biography, Drama"
Nefes: Vatan Sagolsun,2009,8,"Action, Drama, Thriller"
Οι επίλεκτοι,2007,8,"Action, Crime, Drama"
Οι Εκδικητές,2012,8,"Action, Adventure, Sci-Fi"
Το τελεσίγραφο του Μπορν,2007,8,"Action, Adventure, Mystery"
Taegukgi hwinalrimyeo,2004,8,"Action, Drama, War"
Casino Royale,2006,8,"Action, Adventure, Thriller"
Kill Bill: Vol. 2,2004,8,"Action, Crime, Thriller"
Σατανικές υποθέσεις,2002,8,"Action, Crime, Drama"
Οι πειρατές της Καραϊβικής: Η κατάρα του Μαύρου Μαργαριταριού,2003,8,"Action, Adventure, Fantasy"
Οι απίθανοι,2004,8,"Animation, Action, Adventure"
Ο Σιδερένιος Γίγαντας,1999,8,"Animation, Action, Adventure"
Kôkaku Kidôtai,1995,8,"Animation, Action, Crime"
Akira,1988,8,"Animation, Action, Drama"
Ο εξολοθρευτής,1984,8,"Action, Sci-Fi"
Για μια χούφτα δολλάρια,1964,8,"Action, Drama, Western"
Ρίο Μπράβο,1959,8,"Action, Drama, Western"
O Shang-Chi και ο Θρύλος των Δέκα Δαχτυλιδιών,2021,7.9,"Action, Adventure, Fantasy"
Thor: Ragnarok,2017,7.9,"Action, Adventure, Comedy"
X-Men: Ημέρες ενός ξεχασμένου μέλλοντος,2014,7.9,"Action, Adventure, Sci-Fi"
Στα όρια του αύριο,2014,7.9,"Action, Adventure, Sci-Fi"
District 9,2009,7.9,"Action, Sci-Fi, Thriller"
Star Trek,2009,7.9,"Action, Adventure, Sci-Fi"
Γράμματα από το Ίβο Τζίμα,2006,7.9,"Action, Adventure, Drama"
Ο Ατσαλένιος Άνθρωπος,2008,7.9,"Action, Adventure, Sci-Fi"
Ήρωας,2002,7.9,"Action, Adventure, History"
Cowboy Bebop: Tengoku no tobira,2001,7.9,"Animation, Action, Crime"
Χωρίς ταυτότητα,2002,7.9,"Action, Mystery, Thriller"
Τα παιδιά των ανθρώπων,2006,7.9,"Action, Sci-Fi, Thriller"
Knockin' on Heaven's Door,1997,7.9,"Action, Crime, Comedy"
Jûbê ninpûchô,1993,7.9,"Animation, Action, Adventure"
Οι ατσίδες με τα μπλε,1980,7.9,"Action, Adventure, Comedy"
