title,year_released,rating,category
Ο άρχοντας των δαχτυλιδιών: Η επιστροφή του βασιλιά,2003,8.9,"Action, Adventure, Drama"
Inception,2010,8.8,"Action, Adventure, Sci-Fi"
Ο άρχοντας των δαχτυλιδιών: Η συντροφιά του δαχτυλιδιού,2001,8.8,"Action, Adventure, Drama"
Ο άρχοντας των δαχτυλιδιών: Οι δύο πύργοι,2002,8.7,"Action, Adventure, Drama"
Ο πόλεμος των άστρων: Επεισόδιο 5 - Η αυτοκρατορία αντεπιτίθεται,1980,8.7,"Action, Adventure, Fantasy"
Interstellar,2014,8.6,"Adventure, Drama, Sci-Fi"
Ταξίδι στη χώρα των θαυμάτων,2001,8.6,"Animation, Adventure, Family"
Ο πόλεμος των άστρων: Επεισόδιο 4 - Μια νέα ελπίδα (1977),1977,8.6,"Action, Adventure, Fantasy"
Οι επτά σαμουράι,1954,8.6,"Action, Adventure, Drama"
Dune,2021,8.5,"Action, Adventure, Drama"
Μονομάχος,2000,8.5,"Action, Adventure, Drama"
The Lion King,1994,8.5,"Animation, Adventure, Drama"
Επιστροφή στο μέλλον,1985,8.5,"Adventure, Comedy, Sci-Fi"
Spider-Man: Μέσα στο Αραχνο-Σύμπαν,2018,8.4,"Animation, Action, Adventure"
Εκδικητές: Η τελευταία πράξη,2019,8.4,"Action, Adventure, Drama"
Εκδικητές: Ο πόλεμος της αιωνιότητας,2018,8.4,"Action, Adventure, Sci-Fi"
Coco,2017,8.4,"Animation, Adventure, Comedy"
Γουόλ-Υ,2008,8.4,"Animation, Adventure, Family"
Πριγκίπισσα Μονονόκε,1997,8.4,"Animation, Action, Adventure"
Οι Κυνηγοί της Χαμένης Κιβωτού,1981,8.4,"Action, Adventure"
Kimetsu no Yaiba: Mugen Ressha-Hen,2020,8.3,"Animation, Action, Adventure"
Άδοξοι μπάσταρδοι,2009,8.3,"Adventure, Drama, War"
Η ιστορία των παιχνιδιών,1995,8.3,"Animation, Adventure, Comedy"
"Άλιενς, η Επιστροφή",1986,8.3,"Action, Adventure, Sci-Fi"
Ο πόλεμος των άστρων: Επεισόδιο 6 - Η επιστροφή των Τζεντάι,1983,8.3,"Action, Adventure, Fantasy"
Υποβρύχιο U-96: Επιστροφή στην κόλαση,1981,8.3,"Adventure, Drama, Thriller"
2001: Η οδύσσεια του διαστήματος,1968,8.3,"Adventure, Sci-Fi"
Ο Λώρενς της Αραβίας,1962,8.3,"Adventure, Biography, Drama"
Στη σκιά των τεσσάρων γιγάντων,1959,8.3,"Adventure, Mystery, Thriller"
Κλάους: Το Μυστικό των Χριστουγέννων,2019,8.2,"Animation, Adventure, Comedy"
Queen,2013,8.2,"Adventure, Comedy, Drama"
Ψηλά στον ουρανό,2009,8.2,"Animation, Adventure, Comedy"
Η ιστορία των παιχνιδιών 3,2010,8.2,"Animation, Adventure, Comedy"
Μπάτμαν: Η αρχή,2005,8.2,"Action, Adventure"
Το κινούμενο κάστρο,2004,8.2,"Animation, Adventure, Family"
Ο Ιντιάνα Τζόουνς και η Τελευταία Σταυροφορία,1989,8.2,"Action, Adventure"
Sholay,1975,8.2,"Action, Adventure, Comedy"
Οι Ιππότες της Ελεεινής Τραπέζης,1975,8.2,"Adventure, Comedy, Fantasy"
