title,year_released,rating,category
Ταξίδι στη χώρα των θαυμάτων,2001,8.6,"Animation, Adventure, Family"
The Lion King,1994,8.5,"Animation, Adventure, Drama"
Hotaru no haka,1988,8.5,"Animation, Drama, War"
Your Name,2016,8.4,"Animation, Drama, Fantasy"
Spider-Man: Μέσα στο Αραχνο-Σύμπαν,2018,8.4,"Animation, Action, Adventure"
Coco,2017,8.4,"Animation, Adventure, Comedy"
Γουόλ-Υ,2008,8.4,"Animation, Adventure, Family"
Πριγκίπισσα Μονονόκε,1997,8.4,"Animation, Action, Adventure"
Kimetsu no Yaiba: Mugen Ressha-Hen,2020,8.3,"Animation, Action, Adventure"
Η ιστορία των παιχνιδιών,1995,8.3,"Animation, Adventure, Comedy"
Koe no katachi,2016,8.2,"Animation, Drama"
Κλάους: Το Μυστικό των Χριστουγέννων,2019,8.2,"Animation, Adventure, Comedy"
Ψηλά στον ουρανό,2009,8.2,"Animation, Adventure, Comedy"
Η ιστορία των παιχνιδιών 3,2010,8.2,"Animation, Adventure, Comedy"
Το κινούμενο κάστρο,2004,8.2,"Animation, Adventure, Family"
Η γειτονιά του δάσους: Οι περιπέτειες του Τοτόρο,1988,8.2,"Animation, Family, Fantasy"
Wolfwalkers,2020,8.1,"Animation, Adventure, Family"
Soul,2020,8.1,"Animation, Adventure, Comedy"
Ôkami kodomo no Ame to Yuki,2012,8.1,"Animation, Drama, Fantasy"
Τα μυαλά που κουβαλάς,2015,8.1,"Animation, Adventure, Comedy"
Το τραγούδι της θάλασσας,2014,8.1,"Animation, Adventure, Drama"
Μαίρη και Μαξ,2009,8.1,"Animation, Comedy, Drama"
Πώς να εκπαιδεύσετε τον δράκο σας,2010,8.1,"Animation, Action, Adventure"
Ψάχνοντας τον Νέμο,2003,8.1,"Animation, Adventure, Comedy"
Μπαμπούλας Α.Ε.,2001,8.1,"Animation, Adventure, Comedy"
"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",1997,8.1,"Animation, Action, Drama"
Η Ναυσικά της κοιλάδας των ανέμων,1984,8.1,"Animation, Adventure, Fantasy"
Ζωούπολη,2016,8,"Animation, Adventure, Comedy"
Η Ιστορία της Πριγκίπισσας Kaguya,2013,8,"Animation, Adventure, Drama"
Persepolis,2007,8,"Animation, Biography, Drama"
Ο Ρατατούης,2007,8,"Animation, Adventure, Comedy"
Οι απίθανοι,2004,8,"Animation, Action, Adventure"
Τέλειο Μπλε,1997,8,"Animation, Crime, Mystery"
Ο Σιδερένιος Γίγαντας,1999,8,"Animation, Action, Adventure"
Kôkaku Kidôtai,1995,8,"Animation, Action, Crime"
Χριστουγεννιάτικος εφιάλτης,1993,8,"Animation, Family, Fantasy"
Αλαντίν,1992,8,"Animation, Adventure, Comedy"
Η πεντάμορφη και το τέρας,1991,8,"Animation, Family, Fantasy"
Akira,1988,8,"Animation, Action, Drama"
Το κάστρο στον ουρανό,1986,8,"Animation, Adventure, Drama"
Το νησί των σκύλων,2018,7.9,"Animation, Adventure, Comedy"
Ο απίθανος κύριος Φοξ,2009,7.9,"Animation, Adventure, Comedy"
Sennen joyû,2001,7.9,"Animation, Drama, Fantasy"
Cowboy Bebop: Tengoku no tobira,2001,7.9,"Animation, Action, Crime"
Σρεκ,2001,7.9,"Animation, Adventure, Comedy"
