title,year_released,rating,category
Η λίστα του Σίντλερ,1993,8.9,"Biography, Drama, History"
Shershaah,2021,8.8,"Action, Biography, Drama"
Τα καλά παιδιά,1990,8.7,"Biography, Crime, Drama"
Άθικτοι,2011,8.5,"Biography, Comedy, Drama"
Ο πιανίστας,2002,8.5,"Biography, Drama, Music"
Hamilton,2020,8.4,"Biography, Drama, History"
Ayla: The Daughter of War,2017,8.4,"Biography, Drama, History"
Dangal,2016,8.4,"Action, Biography, Drama"
Braveheart,1995,8.3,"Biography, Drama, History"
Αμαντέους,1984,8.3,"Biography, Drama, History"
Ο Λώρενς της Αραβίας,1962,8.3,"Adventure, Biography, Drama"
Το πράσινο βιβλίο,2018,8.2,"Biography, Comedy, Drama"
Bhaag Milkha Bhaag,2013,8.2,"Biography, Drama, Sport"
Paan Singh Tomar,2012,8.2,"Action, Biography, Crime"
Ο λύκος της Wall Street,2013,8.2,"Biography, Crime, Drama"
Η πτώση,2004,8.2,"Biography, Drama, History"
Ένας υπέροχος άνθρωπος,2001,8.2,"Biography, Drama"
Οργισμένο είδωλο,1980,8.2,"Biography, Drama, Sport"
Ο Λέων της Αραβίας,1976,8.2,"Biography, Drama, History"
Αντιρρησίας Συνείδησης,2016,8.1,"Biography, Drama, History"
12 χρόνια σκλάβος,2013,8.1,"Biography, Drama, History"
Rush,2013,8.1,"Action, Biography, Drama"
Κόντρα σε Όλα,2019,8.1,"Action, Biography, Drama"
Spotlight: Όλα στο φως,2015,8.1,"Biography, Crime, Drama"
Hachiko: Η Ιστορία ενός Σκύλου,2009,8.1,"Biography, Drama, Family"
Ταξίδι στην άγρια φύση,2007,8.1,"Adventure, Biography, Drama"
Hotel Rwanda,2004,8.1,"Biography, Drama, History"
"Πιάσε με, αν μπορείς",2002,8.1,"Biography, Crime, Drama"
Εις το όνομα του πατρός,1993,8.1,"Biography, Crime, Drama"
Ο Άνθρωπος Ελέφαντας,1980,8.1,"Biography, Drama"
Ο καθρέφτης,1975,8.1,"Biography, Drama"
Αντρέι Ρουμπλιόφ,1966,8.1,"Biography, Drama, History"
Κληρονομήστε τον άνεμο (1960),1960,8.1,"Biography, Drama, History"
Το Πάθος της Ζαν ντ' Αρκ,1928,8.1,"Biography, Drama, History"
Togo,2019,8,"Adventure, Biography, Drama"
Lion,2016,8,"Biography, Drama"
Το παιχνίδι της μίμησης,2014,8,"Biography, Drama, Thriller"
Ο λόγος του βασιλιά,2010,8,"Biography, Drama, History"
Ip Man: Η γέννηση του θρύλου,2008,8,"Action, Biography, Drama"
Persepolis,2007,8,"Animation, Biography, Drama"
Dallas Buyers Club,2013,8,"Biography, Drama"
Το κυνήγι της ευτυχίας,2006,8,"Biography, Drama"
Το Σκάφανδρο Και Η Πεταλούδα,2007,8,"Biography, Drama"
Η θάλασσα μέσα μου,2004,8,"Biography, Drama"
Cinderella Man,2005,8,"Biography, Drama, History"
The Straight Story,1999,8,"Biography, Drama"
Γκάντι,1982,8,"Biography, Drama, History"
Όλοι οι άνθρωποι του προέδρου,1976,8,"Biography, Drama, History"
Σκυλίσια μέρα,1975,8,"Biography, Crime, Drama"
Ο Πεταλούδας,1973,8,"Biography, Crime, Drama"
