title,year_released,rating,category
Παράσιτα,2019,8.6,"Comedy, Drama, Thriller"
Η ζωή είναι ωραία,1997,8.6,"Comedy, Drama, Romance"
Άθικτοι,2011,8.5,"Biography, Comedy, Drama"
Επιστροφή στο μέλλον,1985,8.5,"Adventure, Comedy, Sci-Fi"
Μοντέρνοι καιροί,1936,8.5,"Comedy, Drama, Family"
Τα φώτα της πόλεως,1931,8.5,"Comedy, Drama, Romance"
Coco,2017,8.4,"Animation, Adventure, Comedy"
Οι τρεις ηλίθιοι,2009,8.4,"Comedy, Drama"
S.O.S. Πεντάγωνο καλεί Μόσχα,1964,8.4,Comedy
Ο δικτάτωρ,1940,8.4,"Comedy, Drama, War"
Chhichhore,2019,8.3,"Comedy, Drama, Romance"
Αμελί,2001,8.3,"Comedy, Romance"
Η αρπαχτή,2000,8.3,"Comedy, Crime"
Η ιστορία των παιχνιδιών,1995,8.3,"Animation, Adventure, Comedy"
Το κεντρί,1973,8.3,"Comedy, Crime, Drama"
Η γκαρσονιέρα,1960,8.3,"Comedy, Drama, Romance"
Τραγουδώντας στη βροχή,1952,8.3,"Comedy, Musical, Romance"
Το χαμίνι,1921,8.3,"Comedy, Drama, Family"
Το πράσινο βιβλίο,2018,8.2,"Biography, Comedy, Drama"
Κλάους: Το Μυστικό των Χριστουγέννων,2019,8.2,"Animation, Adventure, Comedy"
Queen,2013,8.2,"Adventure, Comedy, Drama"
3 εβδομάδες προθεσμία,2011,8.2,"Comedy, Drama"
Ψηλά στον ουρανό,2009,8.2,"Animation, Adventure, Comedy"
Η ιστορία των παιχνιδιών 3,2010,8.2,"Animation, Adventure, Comedy"
Hera Pheri,2000,8.2,"Action, Comedy, Crime"
Δυο καπνισμένες κάνες,1998,8.2,"Action, Comedy, Crime"
Καιροί των τσιγγάνων,1988,8.2,"Comedy, Crime, Drama"
Sholay,1975,8.2,"Action, Adventure, Comedy"
Οι Ιππότες της Ελεεινής Τραπέζης,1975,8.2,"Adventure, Comedy, Fantasy"
Μερικοί το προτιμούν καυτό,1959,8.2,"Comedy, Music, Romance"
Να Ζει Κανείς ή Να μη Ζει;,1942,8.2,"Comedy, Romance, War"
Ο χρυσοθήρας,1925,8.2,"Adventure, Comedy, Drama"
Sherlock Jr.,1924,8.2,"Action, Comedy, Romance"
"Οι τρεις πινακίδες έξω από το Έμπινγκ, στο Μιζούρι",2017,8.1,"Comedy, Crime, Drama"
Ιστορίες για Αγρίους,2014,8.1,"Comedy, Drama, Thriller"
Soul,2020,8.1,"Animation, Adventure, Comedy"
PK,2014,8.1,"Comedy, Drama, Musical"
