title,year_released,rating,category
Ο νονός,1972,9.2,"Crime, Drama"
Ο σκοτεινός ιππότης,2008,9,"Action, Crime, Drama"
"Ο νονός, μέρος 2ο",1974,9,"Crime, Drama"
Οι 12 Ένορκοι,1957,9,"Crime, Drama"
Pulp Fiction,1994,8.9,"Crime, Drama"
Τα καλά παιδιά,1990,8.7,"Biography, Crime, Drama"
Drishyam 2,2021,8.6,"Crime, Drama, Thriller"
Η πόλη του Θεού,2002,8.6,"Crime, Drama"
Το πράσινο μίλι,1999,8.6,"Crime, Drama, Fantasy"
Seven,1995,8.6,"Crime, Drama, Mystery"
Η σιωπή των αμνών,1991,8.6,"Crime, Drama, Thriller"
Ratsasan,2018,8.5,"Action, Crime, Drama"
Ο Πληροφοριοδότης,2006,8.5,"Crime, Drama, Thriller"
Συνήθεις ύποπτοι,1995,8.5,"Crime, Mystery, Thriller"
Léon,1994,8.5,"Action, Crime, Drama"
Joker,2019,8.4,"Crime, Drama, Thriller"
Κάποτε στην Αμερική,1984,8.4,"Crime, Drama"
Tengoku to jigoku,1963,8.4,"Crime, Drama, Mystery"
Μάρτυς κατηγορίας,1957,8.4,"Crime, Drama, Mystery"
K.G.F: Chapter 1,2018,8.3,"Action, Crime, Drama"
Vikram Vedha,2017,8.3,"Action, Crime, Drama"
Drishyam,2013,8.3,"Crime, Drama, Thriller"
Η αρπαχτή,2000,8.3,"Comedy, Crime"
Reservoir Dogs,1992,8.3,"Crime, Drama, Thriller"
Ο σημαδεμένος,1983,8.3,"Crime, Drama"
Το κεντρί,1973,8.3,"Comedy, Crime, Drama"
Το κουρδιστό πορτοκάλι,1971,8.3,"Crime, Drama, Sci-Fi"
Σκιές και σιωπή,1962,8.3,"Crime, Drama"
Κολασμένη αγάπη,1944,8.3,"Crime, Drama, Film-Noir"
Ο Δράκος του Ντίσελντορφ,1931,8.3,"Crime, Mystery, Thriller"
Andhadhun,2018,8.2,"Crime, Drama, Music"
Talvar,2015,8.2,"Crime, Drama, Mystery"
Drishyam,2015,8.2,"Crime, Drama, Mystery"
Gangs of Wasseypur,2012,8.2,"Action, Crime, Drama"
Paan Singh Tomar,2012,8.2,"Action, Biography, Crime"
Article 15,2019,8.2,"Crime, Drama, Mystery"
Ο λύκος της Wall Street,2013,8.2,"Biography, Crime, Drama"
Hera Pheri,2000,8.2,"Action, Comedy, Crime"
Δυο καπνισμένες κάνες,1998,8.2,"Action, Comedy, Crime"
Λος Άντζελες: Εμπιστευτικό,1997,8.2,"Crime, Drama, Mystery"
Eskiya,1996,8.2,"Crime, Drama, Thriller"
Ένταση,1995,8.2,"Crime, Drama, Thriller"
Καζίνο,1995,8.2,"Crime, Drama"
Καιροί των τσιγγάνων,1988,8.2,"Comedy, Crime, Drama"
Ο ταξιτζής,1976,8.2,"Crime, Drama"
Τηλεφωνήσατε ασφάλεια αμέσου δράσεως,1954,8.2,"Crime, Thriller"
Η γκέισα και ο σαμουράι,1950,8.2,"Crime, Drama, Mystery"
Pink,2016,8.1,"Crime, Drama, Thriller"
"Οι τρεις πινακίδες έξω από το Έμπινγκ, στο Μιζούρι",2017,8.1,"Comedy, Crime, Drama"
Αόρατος Επισκέπτης,2016,8.1,"Crime, Drama, Mystery"
Haider,2014,8.1,"Action, Crime, Drama"
The Grand Budapest Hotel,2014,8.1,"Adventure, Comedy, Crime"
Spotlight: Όλα στο φως,2015,8.1,"Biography, Crime, Drama"
Prisoners,2013,8.1,"Crime, Drama, Mystery"
A Wednesday,2008,8.1,"Action, Crime, Drama"
Καμιά πατρίδα για τους μελλοθάνατους,2007,8.1,"Crime, Drama, Thriller"
Rang De Basanti,2006,8.1,"Comedy, Crime, Drama"
Μνήμες εγκλήματος,2003,8.1,"Crime, Drama, Mystery"
Kill Bill Volume 1,2003,8.1,"Action, Crime, Drama"
"Πιάσε με, αν μπορείς",2002,8.1,"Biography, Crime, Drama"
"Μαύρη γάτα, άσπρος γάτος",1998,8.1,"Comedy, Crime, Romance"
Ο μεγάλος Λεμπόφσκι,1998,8.1,"Comedy, Crime, Sport"
Fargo,1996,8.1,"Crime, Drama, Thriller"
Το μίσος,1995,8.1,"Crime, Drama"
Chungking Express,1994,8.1,"Comedy, Crime, Drama"
Εις το όνομα του πατρός,1993,8.1,"Biography, Crime, Drama"
Χάρτινο φεγγάρι,1973,8.1,"Comedy, Crime, Drama"
Ο Δολοφόνος με το Αγγελικό Πρόσωπο,1967,8.1,"Crime, Drama, Mystery"
Ο μεγάλος δραπέτης,1967,8.1,"Crime, Drama"
Sanjuro,1962,8.1,"Action, Comedy, Crime"
Τα 400 χτυπήματα,1959,8.1,"Crime, Drama"
Ριφιφί,1955,8.1,"Crime, Drama, Thriller"
Το λιμάνι της αγωνίας,1954,8.1,"Crime, Drama, Thriller"
Οι Διαβολογυναίκες,1955,8.1,"Crime, Drama, Horror"
O megalos amartolos,1949,8.1,"Action, Crime, Drama"
Special Chabbis,2013,8,"Crime, Drama, Thriller"
