title,year_released,rating,category
Τελευταία έξοδος: Ρίτα Χέιγουορθ,1994,9.3,Drama
Ο νονός,1972,9.2,"Crime, Drama"
Soorarai Pottru,2020,9.1,Drama
Ο σκοτεινός ιππότης,2008,9,"Action, Crime, Drama"
"Ο νονός, μέρος 2ο",1974,9,"Crime, Drama"
Οι 12 Ένορκοι,1957,9,"Crime, Drama"
Dara iz Jasenovca,2020,8.9,"Drama, War"
Ο άρχοντας των δαχτυλιδιών: Η επιστροφή του βασιλιά,2003,8.9,"Action, Adventure, Drama"
Pulp Fiction,1994,8.9,"Crime, Drama"
Η λίστα του Σίντλερ,1993,8.9,"Biography, Drama, History"
Shershaah,2021,8.8,"Action, Biography, Drama"
Fight Club,1999,8.8,Drama
Ο άρχοντας των δαχτυλιδιών: Η συντροφιά του δαχτυλιδιού,2001,8.8,"Action, Adventure, Drama"
Φόρεστ Γκαμπ,1994,8.8,"Drama, Romance"
Ο άρχοντας των δαχτυλιδιών: Οι δύο πύργοι,2002,8.7,"Action, Adventure, Drama"
Τα καλά παιδιά,1990,8.7,"Biography, Crime, Drama"
Στη φωλιά του κούκου,1975,8.7,Drama
Παράσιτα,2019,8.6,"Comedy, Drama, Thriller"
Drishyam 2,2021,8.6,"Crime, Drama, Thriller"
Interstellar,2014,8.6,"Adventure, Drama, Sci-Fi"
Η πόλη του Θεού,2002,8.6,"Crime, Drama"
Η διάσωση του στρατιώτη Ράιαν,1998,8.6,"Drama, War"
Το πράσινο μίλι,1999,8.6,"Crime, Drama, Fantasy"
Η ζωή είναι ωραία,1997,8.6,"Comedy, Drama, Romance"
Seven,1995,8.6,"Crime, Drama, Mystery"
Η σιωπή των αμνών,1991,8.6,"Crime, Drama, Thriller"
Harakiri,1962,8.6,"Action, Drama, Mystery"
Οι επτά σαμουράι,1954,8.6,"Action, Adventure, Drama"
Μια υπέροχη ζωή,1946,8.6,"Drama, Family, Fantasy"
Ratsasan,2018,8.5,"Action, Crime, Drama"
Χωρίς μέτρο,2014,8.5,"Drama, Music"
Άθικτοι,2011,8.5,"Biography, Comedy, Drama"
Dune,2021,8.5,"Action, Adventure, Drama"
The Prestige,2006,8.5,"Drama, Mystery, Sci-Fi"
Ο Πληροφοριοδότης,2006,8.5,"Crime, Drama, Thriller"
Ο πιανίστας,2002,8.5,"Biography, Drama, Music"
Μονομάχος,2000,8.5,"Action, Adventure, Drama"
Μαθήματα Αμερικανικής ιστορίας,1998,8.5,Drama
Léon,1994,8.5,"Action, Crime, Drama"
The Lion King,1994,8.5,"Animation, Adventure, Drama"
Σινεμά ο Παράδεισος,1988,8.5,"Drama, Romance"
Hotaru no haka,1988,8.5,"Animation, Drama, War"
Το Τραγούδι του Δρόμου,1955,8.5,Drama
Καζαμπλάνκα,1942,8.5,"Drama, Romance, War"
Μοντέρνοι καιροί,1936,8.5,"Comedy, Drama, Family"
Τα φώτα της πόλεως,1931,8.5,"Comedy, Drama, Romance"
Hamilton,2020,8.4,"Biography, Drama, History"
Καπερναούμ,2018,8.4,Drama
Joker,2019,8.4,"Crime, Drama, Thriller"
Ayla: The Daughter of War,2017,8.4,"Biography, Drama, History"
Your Name,2016,8.4,"Animation, Drama, Fantasy"
