title,year_released,rating,category
Ταξίδι στη χώρα των θαυμάτων,2001,8.6,"Animation, Adventure, Family"
Μια υπέροχη ζωή,1946,8.6,"Drama, Family, Fantasy"
Μοντέρνοι καιροί,1936,8.5,"Comedy, Drama, Family"
Taare Zameen Par,2007,8.4,"Drama, Family"
Γουόλ-Υ,2008,8.4,"Animation, Adventure, Family"
Babam ve Oglum,2005,8.3,"Drama, Family"
Τα παιδιά του παραδείσου,1997,8.3,"Drama, Family, Sport"
Το χαμίνι,1921,8.3,"Comedy, Drama, Family"
Chak De! India,2007,8.2,"Drama, Family, Sport"
Το κινούμενο κάστρο,2004,8.2,"Animation, Adventure, Family"
Η γειτονιά του δάσους: Οι περιπέτειες του Τοτόρο,1988,8.2,"Animation, Family, Fantasy"
Wolfwalkers,2020,8.1,"Animation, Adventure, Family"
Hachiko: Η Ιστορία ενός Σκύλου,2009,8.1,"Biography, Drama, Family"
Τρελές ιστορίες έρωτα και φαντασίας,1987,8.1,"Adventure, Family, Fantasy"
Θαύμα,2017,8,"Drama, Family"
Χριστουγεννιάτικος εφιάλτης,1993,8,"Animation, Family, Fantasy"
Η πεντάμορφη και το τέρας,1991,8,"Animation, Family, Fantasy"
Ο βιολιστής στη στέγη,1971,8,"Drama, Family, Musical"
Η μελωδία της ευτυχίας,1965,8,"Biography, Drama, Family"
Ο μάγος του Οζ,1939,8,"Adventure, Family, Fantasy"
Ο Χάρι Πότερ και ο αιχμάλωτος του Αζκαμπάν,2004,7.9,"Adventure, Family, Fantasy"
Mimi wo sumaseba,1995,7.9,"Animation, Drama, Family"
Μια Χριστουγεννιάτικη Ιστορία,1983,7.9,"Comedy, Family"
Το Θαύμα της 34ης Οδού,1947,7.9,"Comedy, Drama, Family"
Η Γυναίκα με τη Λεοπάρδαλη,1938,7.9,"Comedy, Family, Romance"
English Vinglish,2012,7.8,"Comedy, Drama, Family"
Veer-Zaara,2004,7.8,"Drama, Family, Musical"
Όνειρα του ουρανού,1999,7.8,"Biography, Drama, Family"
The Sandlot,1993,7.8,"Comedy, Drama, Family"
Γκούνις: Το κυνήγι της μεγάλης περιπέτειας,1985,7.8,"Adventure, Comedy, Family"
Ε.Τ. ο εξωγήινος,1982,7.8,"Family, Sci-Fi"
Ο Γουίλι Γουόνκα και το Εργοστάσιο Σοκολάτας,1971,7.8,"Family, Fantasy, Musical"
Ωραία μου κυρία,1964,7.8,"Drama, Family, Musical"
Μαίρη Πόππινς,1964,7.8,"Comedy, Family, Fantasy"
Omoide no Mânî,2014,7.7,"Animation, Drama, Family"
Ο Χάρι Πότερ και το κύπελλο της φωτιάς,2005,7.7,"Adventure, Family, Fantasy"
Coraline: Το Σπίτι στην Ομίχλη,2009,7.7,"Animation, Drama, Family"
Ψάχνοντας τη χώρα του ποτέ,2004,7.7,"Biography, Drama, Family"
A Little Princess,1995,7.7,"Drama, Family, Fantasy"
Χριστουγεννιάτικη ιστορία,1992,7.7,"Comedy, Drama, Family"
Fantasia,1940,7.7,"Animation, Family, Fantasy"
Αστερόσκονη,2007,7.6,"Adventure, Family, Fantasy"
The Secret of Kells,2009,7.6,"Animation, Adventure, Family"
Ο Χάρι Πότερ και ο ημίαιμος πρίγκιψ,2009,7.6,"Action, Adventure, Family"
Ο Χάρι Πότερ και η φιλοσοφική λίθος,2001,7.6,"Adventure, Family, Fantasy"
Μόνος στο σπίτι,1990,7.6,"Comedy, Family"
Οι απίθανοι Μάππετ κοντά σας,1979,7.6,"Adventure, Comedy, Family"
Το βιβλίο της ζούγκλας,1967,7.6,"Animation, Adventure, Family"
