title,year_released,rating,category
Ο πόλεμος των άστρων: Επεισόδιο 5 - Η αυτοκρατορία αντεπιτίθεται,1980,8.7,"Action, Adventure, Fantasy"
Το πράσινο μίλι,1999,8.6,"Crime, Drama, Fantasy"
Ο πόλεμος των άστρων: Επεισόδιο 4 - Μια νέα ελπίδα (1977),1977,8.6,"Action, Adventure, Fantasy"
Μια υπέροχη ζωή,1946,8.6,"Drama, Family, Fantasy"
Your Name,2016,8.4,"Animation, Drama, Fantasy"
Τουμπάντ,2018,8.3,"Drama, Fantasy, Horror"
Ο πόλεμος των άστρων: Επεισόδιο 6 - Η επιστροφή των Τζεντάι,1983,8.3,"Action, Adventure, Fantasy"
Ο λαβύρινθος του Πάνα,2006,8.2,"Drama, Fantasy, War"
Η γειτονιά του δάσους: Οι περιπέτειες του Τοτόρο,1988,8.2,"Animation, Family, Fantasy"
Οι Ιππότες της Ελεεινής Τραπέζης,1975,8.2,"Adventure, Comedy, Fantasy"
Η έβδομη σφραγίδα,1957,8.2,"Drama, Fantasy, History"
OMG: Oh My God!,2012,8.1,"Comedy, Drama, Fantasy"
Ôkami kodomo no Ame to Yuki,2012,8.1,"Animation, Drama, Fantasy"
Zack Snyder's Justice League,2021,8.1,"Action, Adventure, Fantasy"
Ο Χάρι Πότερ και οι κλήροι του θανάτου: Μέρος 2ο,2011,8.1,"Adventure, Drama, Fantasy"
Underground,1995,8.1,"Comedy, Drama, Fantasy"
Τρελές ιστορίες έρωτα και φαντασίας,1987,8.1,"Adventure, Family, Fantasy"
Η Ναυσικά της κοιλάδας των ανέμων,1984,8.1,"Animation, Adventure, Fantasy"
Ο εξολοθρευτής άγγελος,1962,8.1,"Drama, Fantasy"
Το εργαστήρι του Δρ.Καλιγκάρι,1920,8.1,"Fantasy, Horror, Mystery"
Οι πειρατές της Καραϊβικής: Η κατάρα του Μαύρου Μαργαριταριού,2003,8,"Action, Adventure, Fantasy"
Απίθανες ιστορίες,2003,8,"Adventure, Drama, Fantasy"
Χριστουγεννιάτικος εφιάλτης,1993,8,"Animation, Family, Fantasy"
Η μέρα της μαρμότας,1993,8,"Comedy, Fantasy, Romance"
Η πεντάμορφη και το τέρας,1991,8,"Animation, Family, Fantasy"
Τα φτερά του έρωτα,1987,8,"Drama, Fantasy, Romance"
Pink Floyd: Το τείχος,1982,8,"Drama, Fantasy, Music"
Ο μάγος του Οζ,1939,8,"Adventure, Family, Fantasy"
O Shang-Chi και ο Θρύλος των Δέκα Δαχτυλιδιών,2021,7.9,"Action, Adventure, Fantasy"
Άσε το κακό να μπει,2008,7.9,"Crime, Drama, Fantasy"
The Man from Earth,2007,7.9,"Drama, Fantasy, Mystery"
The Fall,2006,7.9,"Adventure, Drama, Fantasy"
Η ζωή του Πι,2012,7.9,"Adventure, Drama, Fantasy"
Ο Χάρι Πότερ και ο αιχμάλωτος του Αζκαμπάν,2004,7.9,"Adventure, Family, Fantasy"
Sennen joyû,2001,7.9,"Animation, Drama, Fantasy"
Ο ψαλιδοχέρης,1990,7.9,"Drama, Fantasy, Romance"
La montaña sagrada,1973,7.9,"Adventure, Drama, Fantasy"
Χάρβεϊ,1950,7.9,"Comedy, Drama, Fantasy"
"Νοσφεράτου, μια Συμφωνία Τρόμου",1922,7.9,"Fantasy, Horror"
Όσα Φέρνει ο Χρόνος,2013,7.8,"Comedy, Drama, Fantasy"
Χόμπιτ: Η ερημιά του Νοσφιστή,2013,7.8,"Adventure, Fantasy"
The Hobbit: An Unexpected Journey,2012,7.8,"Adventure, Fantasy"
Avatar,2009,7.8,"Action, Adventure, Fantasy"
Ο Κανένας,2009,7.8,"Drama, Fantasy, Romance"
Η απίστευτη ιστορία του Μπένζαμιν Μπάτον,2008,7.8,"Drama, Fantasy, Romance"
Waking Life,2001,7.8,"Animation, Drama, Fantasy"
Τίγρης και δράκος,2000,7.8,"Action, Adventure, Fantasy"
Η διπλή ζωή της Βερόνικα,1991,7.8,"Drama, Fantasy, Music"
Γκόστμπαστερς,1984,7.8,"Action, Comedy, Fantasy"
Ο Γουίλι Γουόνκα και το Εργοστάσιο Σοκολάτας,1971,7.8,"Family, Fantasy, Musical"
Μαίρη Πόππινς,1964,7.8,"Comedy, Family, Fantasy"
Μεσάνυχτα στο Παρίσι,2011,7.7,"Comedy, Fantasy, Romance"
Ο Χάρι Πότερ και οι κλήροι του θανάτου: Μέρος 1ο,2010,7.7,"Adventure, Fantasy, Mystery"
Papurika,2006,7.7,"Animation, Drama, Fantasy"
Κουνγκ Φου... Ζιο,2004,7.7,"Action, Comedy, Fantasy"
Ο Χάρι Πότερ και το κύπελλο της φωτιάς,2005,7.7,"Adventure, Family, Fantasy"
Vampire Hunter D: Bloodlust,2000,7.7,"Animation, Action, Fantasy"
Το πάρκο της τρέλας,1999,7.7,"Animation, Comedy, Fantasy"
Στο μυαλό του Τζον Μάλκοβιτς,1999,7.7,"Comedy, Drama, Fantasy"
A Little Princess,1995,7.7,"Drama, Family, Fantasy"
Το πορφυρό ρόδο του Καΐρου,1985,7.7,"Comedy, Fantasy, Romance"
Fantasia,1940,7.7,"Animation, Family, Fantasy"
Zombieland,2009,7.6,"Adventure, Comedy, Fantasy"
Death Note: Desu nôto,2006,7.6,"Crime, Drama, Fantasy"
Αστερόσκονη,2007,7.6,"Adventure, Family, Fantasy"
Ο Χάρι Πότερ και η φιλοσοφική λίθος,2001,7.6,"Adventure, Family, Fantasy"
Σκοτεινή πόλη,1998,7.6,"Fantasy, Mystery, Sci-Fi"
