title,year_released,rating,category
Seven,1995,8.6,"Crime, Drama, Mystery"
Harakiri,1962,8.6,"Action, Drama, Mystery"
The Prestige,2006,8.5,"Drama, Mystery, Sci-Fi"
Συνήθεις ύποπτοι,1995,8.5,"Crime, Mystery, Thriller"
Ψυχώ,1960,8.5,"Horror, Mystery, Thriller"
Σιωπηλός μάρτυς,1954,8.5,"Mystery, Thriller"
Οι ζωές των άλλων,2006,8.4,"Drama, Mystery, Thriller"
Oldboy,2003,8.4,"Action, Drama, Mystery"
Memento,2000,8.4,"Mystery, Thriller"
Αποκάλυψη τώρα!,1979,8.4,"Drama, Mystery, War"
Tengoku to jigoku,1963,8.4,"Crime, Drama, Mystery"
Μάρτυς κατηγορίας,1957,8.4,"Crime, Drama, Mystery"
Μέσα από τις φλόγες,2010,8.3,"Drama, Mystery, War"
Στη σκιά των τεσσάρων γιγάντων,1959,8.3,"Adventure, Mystery, Thriller"
Δεσμώτης του ιλίγγου,1958,8.3,"Mystery, Romance, Thriller"
Ο πολίτης Κέιν,1941,8.3,"Drama, Mystery"
Ο Δράκος του Ντίσελντορφ,1931,8.3,"Crime, Mystery, Thriller"
Talvar,2015,8.2,"Crime, Drama, Mystery"
Drishyam,2015,8.2,"Crime, Drama, Mystery"
Το μυστικό στα μάτια της,2009,8.2,"Drama, Mystery, Romance"
Το νησί των καταραμένων,2010,8.2,"Mystery, Thriller"
Article 15,2019,8.2,"Crime, Drama, Mystery"
Λος Άντζελες: Εμπιστευτικό,1997,8.2,"Crime, Drama, Mystery"
Τσάιναταουν,1974,8.2,"Drama, Mystery, Thriller"
Η γκέισα και ο σαμουράι,1950,8.2,"Crime, Drama, Mystery"
Αόρατος Επισκέπτης,2016,8.1,"Crime, Drama, Mystery"
Το κορίτσι που εξαφανίστηκε,2014,8.1,"Drama, Mystery, Thriller"
Kahaani,2012,8.1,"Mystery, Thriller"
Prisoners,2013,8.1,"Crime, Drama, Mystery"
Μνήμες εγκλήματος,2003,8.1,"Crime, Drama, Mystery"
Η έκτη αίσθηση,1999,8.1,"Drama, Mystery, Thriller"
Τρία χρώματα: Η κόκκινη ταινία,1994,8.1,"Drama, Mystery, Romance"
Η απειλή,1982,8.1,"Horror, Mystery, Sci-Fi"
Σολάρις,1972,8.1,"Drama, Mystery, Sci-Fi"
Ο Δολοφόνος με το Αγγελικό Πρόσωπο,1967,8.1,"Crime, Drama, Mystery"
Ο τρίτος άνθρωπος,1949,8.1,"Film-Noir, Mystery, Thriller"
Ρεβέκκα,1940,8.1,"Drama, Mystery, Romance"
Το εργαστήρι του Δρ.Καλιγκάρι,1920,8.1,"Fantasy, Horror, Mystery"
Blade Runner 2049,2017,8,"Action, Drama, Mystery"
Darbareye Elly,2009,8,"Drama, Mystery"
Το τελεσίγραφο του Μπορν,2007,8,"Action, Adventure, Mystery"
Donnie Darko,2001,8,"Drama, Mystery, Sci-Fi"
Τέλειο Μπλε,1997,8,"Animation, Crime, Mystery"
Οι δώδεκα πίθηκοι,1995,8,"Mystery, Sci-Fi, Thriller"
Σλουθ,1972,8,"Mystery, Thriller"
Ανατομία ενός εγκλήματος,1959,8,"Crime, Drama, Mystery"
Διψασμένος για Ηδονή,1950,8,"Drama, Film-Noir, Mystery"
Ο βρόγχος,1948,8,"Crime, Drama, Mystery"
Λώρα,1944,8,"Drama, Film-Noir, Mystery"
Το γεράκι της Μάλτας,1941,8,"Crime, Film-Noir, Mystery"
The Thin Man,1934,8,"Comedy, Crime, Mystery"
The Man from Earth,2007,7.9,"Drama, Fantasy, Mystery"
Σκοτεινό ποτάμι,2003,7.9,"Crime, Drama, Mystery"
Μίλα της,2002,7.9,"Drama, Mystery, Romance"
Χωρίς ταυτότητα,2002,7.9,"Action, Mystery, Thriller"
Οδός Μαλχόλαντ,2001,7.9,"Drama, Mystery, Thriller"
Τρία χρώματα: Η μπλε ταινία,1993,7.9,"Drama, Music, Mystery"
Ιστορία ενός εγκλήματος,1967,7.9,"Crime, Drama, Mystery"
Ραντεβού στο Παρίσι,1963,7.9,"Comedy, Mystery, Romance"
Η Περιπέτεια,1960,7.9,"Drama, Mystery, Romance"
Πάθος και αίμα,1946,7.9,"Crime, Film-Noir, Mystery"
Badla,2019,7.8,"Crime, Drama, Mystery"
Οι μισητοί οκτώ,2015,7.8,"Crime, Drama, Mystery"
Το Τέλειο Χτύπημα,2013,7.8,"Crime, Drama, Mystery"
Το Κορίτσι με το Τατουάζ,2011,7.8,"Crime, Drama, Mystery"
Μητέρα,2009,7.8,"Crime, Drama, Mystery"
Φεγγάρι,2009,7.8,"Drama, Mystery, Sci-Fi"
Η λευκή κορδέλα,2009,7.8,"Drama, History, Mystery"
Το Κορίτσι με το Τατουάζ,2009,7.8,"Crime, Drama, Mystery"
Εξιλέωση,2007,7.8,"Drama, Mystery, Romance"
Καυτοί και Άσφαιροι,2007,7.8,"Action, Comedy, Mystery"
Η συνομιλία,1974,7.8,"Drama, Mystery, Thriller"
Εφιάλτης,1944,7.8,"Crime, Drama, Mystery"
Η κυρία εξαφανίζεται,1938,7.8,"Mystery, Thriller"
Στα ίχνη του ανέμου,2017,7.7,"Crime, Drama, Mystery"
Τρέξε!,2017,7.7,"Horror, Mystery, Thriller"
Le passé,2013,7.7,"Drama, Mystery"
Ο Χάρι Πότερ και οι κλήροι του θανάτου: Μέρος 1ο,2010,7.7,"Adventure, Fantasy, Mystery"
Zodiac,2007,7.7,"Crime, Drama, Mystery"
Στη σκιά των κατασκόπων,2004,7.7,"Action, Mystery, Thriller"
Άνοιξε τα μάτια,1997,7.7,"Drama, Mystery, Sci-Fi"
Το παιχνίδι,1997,7.7,"Drama, Mystery, Thriller"
Φόβος ενστίκτου,1996,7.7,"Crime, Drama, Mystery"
Οικόπεδα με θέα,1992,7.7,"Crime, Drama, Mystery"
Spoorloos,1988,7.7,"Mystery, Thriller"
Το όνομα του ρόδου,1986,7.7,"Crime, Drama, Mystery"
