title,year_released,rating,category
Φόρεστ Γκαμπ,1994,8.8,"Drama, Romance"
Η ζωή είναι ωραία,1997,8.6,"Comedy, Drama, Romance"
Σινεμά ο Παράδεισος,1988,8.5,"Drama, Romance"
Καζαμπλάνκα,1942,8.5,"Drama, Romance, War"
Τα φώτα της πόλεως,1931,8.5,"Comedy, Drama, Romance"
Chhichhore,2019,8.3,"Comedy, Drama, Romance"
Η Αιώνια Λιακάδα ενός Καθαρού Μυαλού,2004,8.3,"Drama, Romance, Sci-Fi"
Αμελί,2001,8.3,"Comedy, Romance"
Ο ξεχωριστός Γουίλ Χάντινγκ,1997,8.3,"Drama, Romance"
Η γκαρσονιέρα,1960,8.3,"Comedy, Drama, Romance"
Δεσμώτης του ιλίγγου,1958,8.3,"Mystery, Romance, Thriller"
Τραγουδώντας στη βροχή,1952,8.3,"Comedy, Musical, Romance"
Το μυστικό στα μάτια της,2009,8.2,"Drama, Mystery, Romance"
Μερικοί το προτιμούν καυτό,1959,8.2,"Comedy, Music, Romance"
Άγριες φράουλες,1957,8.2,"Drama, Romance"
Να Ζει Κανείς ή Να μη Ζει;,1942,8.2,"Comedy, Romance, War"
Sherlock Jr.,1924,8.2,"Action, Comedy, Romance"
Το Πορτρέτο Μιας Γυναίκας Που Φλέγεται,2019,8.1,"Drama, Romance"
Η Υπηρέτρια,2016,8.1,"Drama, Romance, Thriller"
Barfi!,2012,8.1,"Comedy, Drama, Romance"
Lage Raho Munna Bhai,2006,8.1,"Comedy, Drama, Romance"
Πριν το ηλιοβασίλεμα,2004,8.1,"Drama, Romance"
Dil Chahta Hai,2001,8.1,"Comedy, Drama, Romance"
Ο θρύλος του 1900,1998,8.1,"Drama, Music, Romance"
"Μαύρη γάτα, άσπρος γάτος",1998,8.1,"Comedy, Crime, Romance"
Ερωτική επιθυμία,2000,8.1,"Drama, Romance"
Dilwale Dulhania Le Jayenge,1995,8.1,"Drama, Romance"
Πριν το ξημέρωμα,1995,8.1,"Drama, Romance"
Τρία χρώματα: Η κόκκινη ταινία,1994,8.1,"Drama, Mystery, Romance"
Andaz Apna Apna,1994,8.1,"Action, Comedy, Romance"
"Αντίο, παλλακίδα μου",1993,8.1,"Drama, Music, Romance"
Σήκωσε τα κόκκινα φανάρια,1991,8.1,"Drama, History, Romance"
Τα Κόκκινα Παπούτσια,1948,8.1,"Drama, Music, Romance"
Τα καλύτερα χρόνια της ζωής μας,1946,8.1,"Drama, Romance, War"
Ερωτική φωλιά,1940,8.1,"Comedy, Drama, Romance"
Ρεβέκκα,1940,8.1,"Drama, Mystery, Romance"
Όσα παίρνει ο άνεμος,1939,8.1,"Drama, History, Romance"
Συνέβη μια νύχτα,1934,8.1,"Comedy, Romance"
