title,year_released,rating,category
Inception,2010,8.8,"Action, Adventure, Sci-Fi"
The Matrix,1999,8.7,"Action, Sci-Fi"
Interstellar,2014,8.6,"Adventure, Drama, Sci-Fi"
The Prestige,2006,8.5,"Drama, Mystery, Sci-Fi"
Εξολοθρευτής 2: Μέρα Κρίσης (1991),1991,8.5,"Action, Sci-Fi"
Επιστροφή στο μέλλον,1985,8.5,"Adventure, Comedy, Sci-Fi"
Εκδικητές: Ο πόλεμος της αιωνιότητας,2018,8.4,"Action, Adventure, Sci-Fi"
"Άλιεν, ο Επιβάτης του Διαστήματος",1979,8.4,"Horror, Sci-Fi"
Η Αιώνια Λιακάδα ενός Καθαρού Μυαλού,2004,8.3,"Drama, Romance, Sci-Fi"
"Άλιενς, η Επιστροφή",1986,8.3,"Action, Adventure, Sci-Fi"
Το κουρδιστό πορτοκάλι,1971,8.3,"Crime, Drama, Sci-Fi"
2001: Η οδύσσεια του διαστήματος,1968,8.3,"Adventure, Sci-Fi"
Μητρόπολις,1927,8.3,"Drama, Sci-Fi"
Λόγκαν,2017,8.1,"Action, Drama, Sci-Fi"
Μαντ Μαξ: Ο δρόμος της οργής,2015,8.1,"Action, Adventure, Sci-Fi"
V for Vendetta,2005,8.1,"Action, Drama, Sci-Fi"
Τζουράσικ Παρκ,1993,8.1,"Action, Adventure, Sci-Fi"
Η απειλή,1982,8.1,"Horror, Mystery, Sci-Fi"
Μπλέιντ Ράνερ,1982,8.1,"Action, Sci-Fi, Thriller"
Στάλκερ,1979,8.1,"Drama, Sci-Fi"
Σολάρις,1972,8.1,"Drama, Mystery, Sci-Fi"
Η διάσωση,2015,8,"Adventure, Drama, Sci-Fi"
Δικός της,2013,8,"Drama, Romance, Sci-Fi"
Οι Εκδικητές,2012,8,"Action, Adventure, Sci-Fi"
G.O.R.A.,2004,8,"Adventure, Comedy, Sci-Fi"
Donnie Darko,2001,8,"Drama, Mystery, Sci-Fi"
Οι δώδεκα πίθηκοι,1995,8,"Mystery, Sci-Fi, Thriller"
Ο εξολοθρευτής,1984,8,"Action, Sci-Fi"
Ο πλανήτης των πιθήκων,1968,8,"Adventure, Sci-Fi"
Η Άφιξη,2016,7.9,"Drama, Sci-Fi"
X-Men: Ημέρες ενός ξεχασμένου μέλλοντος,2014,7.9,"Action, Adventure, Sci-Fi"
Στα όρια του αύριο,2014,7.9,"Action, Adventure, Sci-Fi"
District 9,2009,7.9,"Action, Sci-Fi, Thriller"
Star Trek,2009,7.9,"Action, Adventure, Sci-Fi"
Ο Ατσαλένιος Άνθρωπος,2008,7.9,"Action, Adventure, Sci-Fi"
Τα παιδιά των ανθρώπων,2006,7.9,"Action, Sci-Fi, Thriller"
Μπραζίλ,1985,7.9,"Drama, Sci-Fi"
Κινγκ Κονγκ,1933,7.9,"Adventure, Horror, Sci-Fi"
Rogue One,2016,7.8,"Action, Adventure, Sci-Fi"
Captain America: Εμφύλιος πόλεμος,2016,7.8,"Action, Adventure, Sci-Fi"
Star Wars: Η δύναμη ξυπνάει,2015,7.8,"Action, Adventure, Sci-Fi"
Φεγγάρι,2009,7.8,"Drama, Mystery, Sci-Fi"
Serenity,2005,7.8,"Action, Adventure, Sci-Fi"
Γκάτακα,1997,7.8,"Drama, Sci-Fi, Thriller"
Επιστροφή στο μέλλον 2,1989,7.8,"Adventure, Comedy, Sci-Fi"
Ο Κυνηγός,1987,7.8,"Action, Adventure, Sci-Fi"
Ε.Τ. ο εξωγήινος,1982,7.8,"Family, Sci-Fi"
Άγριος Πλανήτης,1973,7.8,"Animation, Sci-Fi"
Η Νύφη του Φρανκενστάιν,1935,7.8,"Drama, Horror, Sci-Fi"
Φρανκενστάιν,1931,7.8,"Drama, Horror, Sci-Fi"
Captain America 2: O στρατιώτης του χειμώνα,2014,7.7,"Action, Adventure, Sci-Fi"
Gravity,2013,7.7,"Adventure, Drama, Sci-Fi"
Star Trek Into Darkness,2013,7.7,"Action, Adventure, Sci-Fi"
X-Men: Η πρώτη γενιά,2011,7.7,"Action, Adventure, Sci-Fi"
Από μηχανής,2014,7.7,"Drama, Sci-Fi, Thriller"
Άνοιξε τα μάτια,1997,7.7,"Drama, Mystery, Sci-Fi"
Το πέμπτο στοιχείο,1997,7.7,"Action, Adventure, Sci-Fi"
Σταρ Τρεκ Νο 2: Η οργή του Καν,1982,7.7,"Action, Adventure, Sci-Fi"
Οι άνθρωποι του τρόμου,1956,7.7,"Drama, Horror, Sci-Fi"
Όταν η Γη σταματήσει,1951,7.7,"Drama, Sci-Fi"
Ο Αόρατος Ανθρωπος,1933,7.7,"Horror, Sci-Fi"
Το φαινόμενο της πεταλούδας,2004,7.6,"Drama, Sci-Fi, Thriller"
Σκοτεινή πόλη,1998,7.6,"Fantasy, Mystery, Sci-Fi"
Μαντ Μαξ 2: Εκδικητής πέρα απ' το νόμο,1981,7.6,"Action, Adventure, Sci-Fi"
Στενές επαφές τρίτου τύπου,1977,7.6,"Drama, Sci-Fi"
