title,year_released,rating,category
Παράσιτα,2019,8.6,"Comedy, Drama, Thriller"
Drishyam 2,2021,8.6,"Crime, Drama, Thriller"
Η σιωπή των αμνών,1991,8.6,"Crime, Drama, Thriller"
Ο Πληροφοριοδότης,2006,8.5,"Crime, Drama, Thriller"
Συνήθεις ύποπτοι,1995,8.5,"Crime, Mystery, Thriller"
Ψυχώ,1960,8.5,"Horror, Mystery, Thriller"
Σιωπηλός μάρτυς,1954,8.5,"Mystery, Thriller"
Joker,2019,8.4,"Crime, Drama, Thriller"
Οι ζωές των άλλων,2006,8.4,"Drama, Mystery, Thriller"
Memento,2000,8.4,"Mystery, Thriller"
Drishyam,2013,8.3,"Crime, Drama, Thriller"
Reservoir Dogs,1992,8.3,"Crime, Drama, Thriller"
Έλα να δεις,1985,8.3,"Drama, Thriller, War"
Υποβρύχιο U-96: Επιστροφή στην κόλαση,1981,8.3,"Adventure, Drama, Thriller"
Στη σκιά των τεσσάρων γιγάντων,1959,8.3,"Adventure, Mystery, Thriller"
Δεσμώτης του ιλίγγου,1958,8.3,"Mystery, Romance, Thriller"
Ο Δράκος του Ντίσελντορφ,1931,8.3,"Crime, Mystery, Thriller"
Το νησί των καταραμένων,2010,8.2,"Mystery, Thriller"
Eskiya,1996,8.2,"Crime, Drama, Thriller"
Ένταση,1995,8.2,"Crime, Drama, Thriller"
Πολύ σκληρός για να πεθάνει,1988,8.2,"Action, Thriller"
Τσάιναταουν,1974,8.2,"Drama, Mystery, Thriller"
Γιοζίμπο,1961,8.2,"Action, Drama, Thriller"
Τηλεφωνήσατε ασφάλεια αμέσου δράσεως,1954,8.2,"Crime, Thriller"
Pink,2016,8.1,"Crime, Drama, Thriller"
Η Υπηρέτρια,2016,8.1,"Drama, Romance, Thriller"
Το δωμάτιο,2015,8.1,"Drama, Thriller"
Ιστορίες για Αγρίους,2014,8.1,"Comedy, Drama, Thriller"
Το κορίτσι που εξαφανίστηκε,2014,8.1,"Drama, Mystery, Thriller"
Kahaani,2012,8.1,"Mystery, Thriller"
Καμιά πατρίδα για τους μελλοθάνατους,2007,8.1,"Crime, Drama, Thriller"
Χαμένες αγάπες,2000,8.1,"Drama, Thriller"
Η έκτη αίσθηση,1999,8.1,"Drama, Mystery, Thriller"
Fargo,1996,8.1,"Crime, Drama, Thriller"
Μπλέιντ Ράνερ,1982,8.1,"Action, Sci-Fi, Thriller"
Έρωτες χωρίς φραγμό,1966,8.1,"Drama, Thriller"
Τι απέγινε η Μπέιμπι Τζέιν;,1962,8.1,"Drama, Horror, Thriller"
Ριφιφί,1955,8.1,"Crime, Drama, Thriller"
Το λιμάνι της αγωνίας,1954,8.1,"Crime, Drama, Thriller"
Το Μεροκάματο του Τρόμου,1953,8.1,"Adventure, Drama, Thriller"
Ο τρίτος άνθρωπος,1949,8.1,"Film-Noir, Mystery, Thriller"
Baby,2015,8,"Action, Thriller"
Special Chabbis,2013,8,"Crime, Drama, Thriller"
Επιχείρηση: Χάος 2,2014,8,"Action, Crime, Thriller"
Το παιχνίδι της μίμησης,2014,8,"Biography, Drama, Thriller"
Nefes: Vatan Sagolsun,2009,8,"Action, Drama, Thriller"
Μαύρος κύκνος,2010,8,"Drama, Thriller"
Ματωμένο διαμάντι,2006,8,"Adventure, Drama, Thriller"
Αμαρτωλή Πόλη,2005,8,"Crime, Thriller"
Casino Royale,2006,8,"Action, Adventure, Thriller"
Kill Bill: Vol. 2,2004,8,"Action, Crime, Thriller"
Οι δώδεκα πίθηκοι,1995,8,"Mystery, Sci-Fi, Thriller"
JFK: H ιστορία που χαράχτηκε στη μνήμη μας,1991,8,"Drama, History, Thriller"
Τα Σαγόνια του Καρχαρία,1975,8,"Adventure, Thriller"
Σλουθ,1972,8,"Mystery, Thriller"
Το Τρένο θα Σφυρίξει Τρεις Φορές,1952,8,"Drama, Thriller, Western"
Ο άγνωστος του εξπρές,1951,8,"Crime, Film-Noir, Thriller"
Αρσενικό και Παλιά Δαντέλα,1943,8,"Comedy, Crime, Thriller"
Θωρηκτόν Ποτέμκιν,1925,8,"Drama, History, Thriller"
District 9,2009,7.9,"Action, Sci-Fi, Thriller"
Χωρίς ταυτότητα,2002,7.9,"Action, Mystery, Thriller"
9 βασίλισσες,2000,7.9,"Crime, Drama, Thriller"
Τα παιδιά των ανθρώπων,2006,7.9,"Action, Sci-Fi, Thriller"
Οδός Μαλχόλαντ,2001,7.9,"Drama, Mystery, Thriller"
Υπόθεση Καρλίτο,1993,7.9,"Crime, Drama, Thriller"
Οι αδιάφθοροι,1987,7.9,"Crime, Drama, Thriller"
"Ζόμπι, το ξύπνημα των νεκρών",1978,7.9,"Horror, Thriller"
Η νύχτα των ζωντανών νεκρών,1968,7.9,"Horror, Thriller"
Κάτω από έναν Άλλον Ήλιο,1962,7.9,"Drama, Thriller"
Raazi,2018,7.8,"Action, Drama, Thriller"
Νυχτερινός ανταποκριτής,2014,7.8,"Crime, Drama, Thriller"
Ο Κυνηγός,2008,7.8,"Action, Crime, Thriller"
Η Δίκη των 7 του Σικάγου,2020,7.8,"Drama, History, Thriller"
Η αρπαγή,2008,7.8,"Action, Crime, Thriller"
Gongdong gyeongbi guyeok JSA,2000,7.8,"Action, Drama, Thriller"
The Insider,1999,7.8,"Biography, Drama, Thriller"
Γκάτακα,1997,7.8,"Drama, Sci-Fi, Thriller"
Lat sau san taam,1992,7.8,"Action, Crime, Thriller"
Μίζερι,1990,7.8,"Drama, Thriller"
Η συνομιλία,1974,7.8,"Drama, Mystery, Thriller"
Η Ωρα του Τσακαλιού,1973,7.8,"Crime, Drama, Thriller"
Περίμενε Μέχρι Να Νυχτώσει,1967,7.8,Thriller
Το χέρι που σκοτώνει,1943,7.8,"Film-Noir, Thriller"
Η κυρία εξαφανίζεται,1938,7.8,"Mystery, Thriller"
Τρέξε!,2017,7.7,"Horror, Mystery, Thriller"
Επικίνδυνη Αποστολή: Η Πτώση,2018,7.7,"Action, Adventure, Thriller"
Kokuhaku,2010,7.7,"Drama, Thriller"
Skyfall,2012,7.7,"Action, Adventure, Thriller"
Επιχείρηση: Argo,2012,7.7,"Biography, Drama, Thriller"
Από μηχανής,2014,7.7,"Drama, Sci-Fi, Thriller"
Το στοίχημα του Σλέβιν,2006,7.7,"Crime, Drama, Thriller"
Μαύρη λίστα,2006,7.7,"Drama, Thriller, War"
Crash,2004,7.7,"Crime, Drama, Thriller"
Στη σκιά των κατασκόπων,2004,7.7,"Action, Mystery, Thriller"
Άγρυπνος,2004,7.7,"Drama, Thriller"
Ο δρόμος της απώλειας,2002,7.7,"Crime, Drama, Thriller"
Το πείραμα,2001,7.7,"Drama, Thriller"
Η συμμορία των έντεκα,2001,7.7,"Crime, Thriller"
Εξολοθρευτές Άγιοι,1999,7.7,"Action, Crime, Thriller"
Ημέρα εκπαίδευσης,2001,7.7,"Crime, Drama, Thriller"
"Τρέξε, Λόλα, τρέξε",1998,7.7,"Crime, Drama, Thriller"
Το παιχνίδι,1997,7.7,"Drama, Mystery, Thriller"
Ζήτημα τιμής,1992,7.7,"Drama, Thriller"
Barton Fink,1991,7.7,"Comedy, Drama, Thriller"
Το πέρασμα του Μίλερ,1990,7.7,"Crime, Drama, Thriller"
Spoorloos,1988,7.7,"Mystery, Thriller"
Μπλε Βελούδο,1986,7.7,"Drama, Mystery, Thriller"
Η Νύχτα με τις Μάσκες,1978,7.7,"Horror, Thriller"
Ο Ένοικος,1976,7.7,"Drama, Thriller"
Πανικός στο Μετρό της Νέας Υόρκης,1974,7.7,"Action, Crime, Thriller"
Όταν ξέσπασε η βία,1972,7.7,"Adventure, Drama, Thriller"
Ο Επιθεωρητής Κάλαχαν,1971,7.7,"Action, Crime, Thriller"
Αποστροφή,1965,7.7,"Drama, Horror, Thriller"
"Τζέημς Μποντ, πράκτωρ 007: Εναντίων Χρυσοδάκτυλου",1964,7.7,"Action, Adventure, Thriller"
Cape Fear,1962,7.7,"Drama, Thriller"
Ο ηδονοβλεψίας (1960),1960,7.7,"Drama, Horror, Thriller"
Searching,2018,7.6,"Drama, Mystery, Thriller"
Το Εξπρές των Ζωντανών Νεκρών,2016,7.6,"Action, Horror, Thriller"
Το σώμα,2012,7.6,"Mystery, Thriller"
Επιχείρηση: Χάος,2011,7.6,"Action, Thriller"
Το δέρμα που κατοικώ,2011,7.6,"Drama, Horror, Thriller"
