title,year_released,rating,category
Dara iz Jasenovca,2020,8.9,"Drama, War"
Η διάσωση του στρατιώτη Ράιαν,1998,8.6,"Drama, War"
Hotaru no haka,1988,8.5,"Animation, Drama, War"
Καζαμπλάνκα,1942,8.5,"Drama, Romance, War"
Αποκάλυψη τώρα!,1979,8.4,"Drama, Mystery, War"
Σταυροί στο μέτωπο,1957,8.4,"Drama, War"
Ο δικτάτωρ,1940,8.4,"Comedy, Drama, War"
1917,2019,8.3,"Action, Drama, War"
Uri: The Surgical Strike,2019,8.3,"Action, Drama, War"
Μέσα από τις φλόγες,2010,8.3,"Drama, Mystery, War"
Άδοξοι μπάσταρδοι,2009,8.3,"Adventure, Drama, War"
Metal Jacket,1987,8.3,"Drama, War"
Έλα να δεις,1985,8.3,"Drama, Thriller, War"
Μανταρίνια,2013,8.2,"Drama, War"
Ο λαβύρινθος του Πάνα,2006,8.2,"Drama, Fantasy, War"
Ran,1985,8.2,"Action, Drama, War"
Η δίκη της Νυρεμβέργης,1961,8.2,"Drama, War"
Να Ζει Κανείς ή Να μη Ζει;,1942,8.2,"Comedy, Romance, War"
Platoon,1986,8.1,"Drama, War"
Ο ελαφοκυνηγός,1978,8.1,"Drama, War"
Η μάχη του Αλγερίου,1966,8.1,"Drama, War"
Τα παιδικά χρόνια του Ιβάν,1962,8.1,"Drama, War"
Η γέφυρα του ποταμού Κβάι,1957,8.1,"Adventure, Drama, War"
Τα καλύτερα χρόνια της ζωής μας,1946,8.1,"Drama, Romance, War"
Η Μεγάλη Χίμαιρα,1937,8.1,"Drama, War"
Ουδέν νεώτερον από το δυτικό μέτωπο,1930,8.1,"Drama, War"
Taegukgi hwinalrimyeo,2004,8,"Action, Drama, War"
"Αντίο, Παιδιά",1987,8,"Drama, War"
"Καγκεμούσα, η σκιά του πολεμιστή",1980,8,"Drama, History, War"
Δόκτωρ Ζιβάγκο,1965,8,"Drama, Romance, War"
Ο καταδότης του θαλάμου 17,1953,8,"Comedy, Drama, War"
Τζότζο,2019,7.9,"Comedy, Drama, War"
No Man's Land,2001,7.9,"Comedy, Drama, War"
"Πάττον, ο θρύλος της Νορμανδίας",1970,7.9,"Biography, Drama, War"
Κάτω απ’ την άμμο,2015,7.8,"Drama, History, War"
Το αγόρι πίσω από το συρματόπλεγμα,2008,7.8,"Drama, History, War"
Ο Ανθρωπος που θα Γινόταν Βασιλιάς,1975,7.8,"Adventure, History, War"
Θηρία Χωρίς Πατρίδα,2015,7.7,"Drama, War"
Μαύρη λίστα,2006,7.7,"Drama, Thriller, War"
Μαύρο γεράκι: Η κατάρριψη,2001,7.7,"Drama, History, War"
Ο ειρηνοποιός,1975,7.7,"Comedy, War"
Και οι 12 ήταν καθάρματα,1967,7.7,"Action, Adventure, War"
Ζουλού,1964,7.7,"Drama, History, War"
Η ανταρσία του Κέιν,1954,7.7,"Drama, War"
Η λεπτή κόκκινη γραμμή,1998,7.6,"Drama, History, War"
Κάτω τα κεφάλια,1971,7.6,"Drama, War, Western"
Ήρωες με βρώμικα χέρια,1970,7.6,"Adventure, Comedy, War"
Όπου τολμούν οι αετοί,1968,7.6,"Action, Adventure, War"
Όσο υπάρχουν άνθρωποι,1953,7.6,"Drama, Romance, War"
Στον ίσκιο του θανάτου,1944,7.6,"Drama, War"
